Component,Version,Status,Location
"Git","git version 2.53.0.windows.3","ALREADY INSTALLED","C:\Program Files\Git\cmd\git.exe"
"Node.js","v24.16.0","ALREADY INSTALLED","D:\node.js\node.exe"
"npm","11.13.0","ALREADY INSTALLED","D:\node.js\npm.ps1"
"Python","Python 3.14.3","ALREADY INSTALLED","C:\Program Files\Python314\python.exe"
"pip","pip 25.3 from C:\Program Files\Python314\Lib\site-packages\pip (python 3.14) ","ALREADY INSTALLED","C:\Program Files\Python314\Scripts\pip.exe"
"fastapi","0.136.1","OK","C:\Users\Sidd\AppData\Roaming\Python\Python314\site-packages"
"uvicorn","0.46.0","OK","C:\Users\Sidd\AppData\Roaming\Python\Python314\site-packages"
"sqlalchemy","2.0.51","OK","C:\Users\Sidd\AppData\Roaming\Python\Python314\site-packages"
"alembic","1.18.4","OK","C:\Users\Sidd\AppData\Roaming\Python\Python314\site-packages"
"psycopg2-binary","2.9.12","OK","C:\Users\Sidd\AppData\Roaming\Python\Python314\site-packages"
"python-dotenv","1.2.2","OK","C:\Users\Sidd\AppData\Roaming\Python\Python314\site-packages"
"pydantic","2.13.3","OK","C:\Users\Sidd\AppData\Roaming\Python\Python314\site-packages"
"pydantic-settings","2.14.2","OK","C:\Users\Sidd\AppData\Roaming\Python\Python314\site-packages"
"python-jose","3.5.0","OK","C:\Users\Sidd\AppData\Roaming\Python\Python314\site-packages"
"passlib","1.7.4","OK","C:\Users\Sidd\AppData\Roaming\Python\Python314\site-packages"
"httpx","0.28.1","OK","C:\Users\Sidd\AppData\Roaming\Python\Python314\site-packages"
".env","-","FAILED","Not found at backend\.env - create manually with DATABASE_URL, LLM_API_KEY, SECRET_KEY (never commit this file)"
